Harmonic Value,Real Component,Imaginary Component
1,-0.8080,-j0.2165
2, 1.943e-16,j1.388e-16
3, 4.034e-16,j2.776e-16
4, -1.110e-16,j1.527e-16
5, 0.05801,j0.2165
