Key,Description,Units
speed,Speed at which machine is evaluated,RPM
phi_0,Electrical angle at which currents are offset,degrees
ambient_temp,Ambient temperature at which machine is evaluated,deg C
rotor_temp_rise,Expected rotor temperature rise,deg C
