Variable/key_value name,Description,Units
r_sh,Shaft radius,m
d_m,Magnet thickness,m
d_sl,Sleeve thickness,m
delta_sl,Sleeve undersize,m
r_ro,Rotor outer radius,m
deltaT,Rotor temperature rise,K
N,Rotor speed,RPM
