Variable/key_value name,Description,Units
        Omega,Rotational Speed,rad/s
        R_ro,Outer rotor radius ,m
        stack_length,Stack length,m
        R_st,Inner Stator Radius,m
        air_gap,Aig gap length,m
        u_z,Axial airflow speed ,m/s
        TEMPERATURE_OF_AIR,Air temperature,C
